
Year,Week,Category,Winner,Manager GUID,Amount,Entry Fee,Paid,Notes
2025,1,Weekly High Score,,,125,150,Pending,Enter winner + weekly high score total
2025,-,Season High Points,,,200,150,Pending,Cumulative points leader
2025,-,Single Week Player High Score,,,50,150,Pending,Highest individual player week
2025,-,Single Player Season High Scorer,,,50,150,Pending,Most season points by a single player
2025,-,Largest Single Week Margin of Victory,,,50,150,Pending,Largest weekly margin
2025,-,Largest Regular Season Winning Streak,,,50,150,Pending,Longest streak
2025,-,Regular Season 1st Place,,,100,150,Pending,
2025,-,Regular Season 2nd Place,,,50,150,Pending,
2025,-,1st Place,,,400,150,Pending,Playoff winner
2025,-,2nd Place,,,200,150,Pending,Playoff runner-up
2025,-,3rd Place,,,100,150,Pending,Third place
